Guest Name,Gender,Race,Industry,Season,Episode,Number of guests,Episode Length
Pete Holmes,Male,White,Comedy,7,10,1,25:48:00
Vanessa Hudgens,Female,Asian,Actor,7,11,1,26:17:00
Weird Al Yankovic,Male,White,Music,7,12,1,23:09:00
Gordon Ramsey,Male,White,Chef,8,1,1,31:01:00
Abbi Jacobson,Female,White,Actor,8,2,2,25:07:00
Illana Glazer,Female,Black,Actor,8,2,2,25:07:00
Seth Meyers,Male,White,Comedy,8,3,1,25:54:00
Ken Jeong,Male,Asian,Actor,8,4,1,26:51:00
Desus Nice,Male,Black,YouTube,8,5,2,28:54:00
The Kid Mero,Male,Hispanic,YouTube,8,5,2,28:54:00
Offset,Male,Black,Music,8,6,1,22:41:00
Billie Eilish,Female,White,Music,8,7,1,25:27:00
Shaq,Male,Black,Sports,8,8,1,31:10:00
Theo Von,Male,White,Comedy,8,9,1,24:19:00
Jimmy Butler,Male,Black,Sports,8,10,1,27:02:00
Chelsea Handler,Female,White,Comedy,8,11,1,26:08:00
Scarlett Johansson,Female,White,Actor,8,12,1,26:51:00
Nick Jonas,Male,White,Music,9,1,3,27:31:00
Kevin Jonas,Male,White,Music,9,1,3,27:31:00
Joe Jonas,Male,White,Music,9,1,3,27:31:00
Halle Berry,Female,Black,Actor,9,2,1,24:49:00
Trevor Noah,Male,Black,Comedy,9,3,1,22:38:00
Aubrey Plaza,Female,White,Actor,9,4,1,24:48:00
Schoolboy Q,Male,Black,Music,9,5,1,26:01:00
Adam Devine,Male,White,Actor,9,6,1,27:07:00
Kumail Nanjiani,Male,Asian/South Asian,Actor,9,7,1,26:44:00
Binging with Babish,Male,White,YouTube,9,8,1,28:22:00
Juice WRLD,Male,Black,Music,9,9,1,20:37:00
Idris Elba,Male,Black,Actor,9,10,1,29:46:00
Kristen Bell,Female,White,Actor,9,11,1,26:40:00
Stone Cold Steve Austin,Male,White,Actor,9,12,1,30:44:00
Shia LaBeaouf,Male,White,Actor,10,1,1,29:09:00
Ashton Kutcher,Male,White,Actor,10,2,1,30:18:00
Noel Gallagher,Male,White,Music,10,3,1,26:47:00
Liza Koshy,Female,Black,YouTube,10,4,1,25:23:00
Paul Rudd,Male,White,Actor,10,5,1,30:18:00
Maisie Williams,Female,White,Actor,10,6,1,25:00:00
Nick Offerman,Male,White,Actor,10,7,1,29:04:00
DaBaby,Male,Black,Music,10,8,1,20:08:00
Kristen Stewart,Female,White,Actor,10,9,1,24:24:00
Chance the Rapper,Male,Black,Music,10,10,1,25:19:00
Brad Leone,Male,White,YouTube,10,11,1,28:15:00
John Boyega,Male,Black,Actor,10,12,1,26:59:00
Margot Robbie,Female,White,Actor,11,1,1,24:51:00
Zoe Kravitz,Female,Black,Actor,11,2,1,24:50:00
Will Ferrell,Male,White,Actor,11,3,1,21:46:00
Halsey,Female,White,Music,11,4,1,26:17:00
Pete Davidson,Male,White,Actor,11,5,1,25:49:00
David Dobrik,Male,White,YouTube,11,6,1,25:17:00
Big Sean,Male,Black,Music,11,7,1,24:16:00
Zac Efron,Male,Black,Actor,11,8,1,28:14:00
Justin Timberlake,Male,White,Music,11,9,1,29:38:00
Bert Kreischer,Male,White,Comedy,11,10,1,26:37:00
